address,total_allocated,already_claimed,available_to_claim,total_remaining,frozen
0xf8c32b1cce8621778eb1ea0eab439d2bf3ae88af,7714015.3,0,921396.2719,6792619.028,
0xfdebe9c9f42a45ac6c86f62e270736ee2b4a5e45,381116,44707.00397,815.1849196,335593.8111,
0x188bf6431bb1f3aea852a892715543a784395ff9,348696,40475.75213,1174.047874,307046.2,
0x9289ad9b67e16e24cc8b8c49c07f9ad2196707f1,288179,33894.20074,527.1798126,253757.6194,
0x45d7a4252af600fa964983bb9da0153d670c87d5,288179,33822.4606,598.9199594,253757.6194,
0xe133230cbc5c325c23ed5500d2a289f81b008d9e,278653,28929.85001,4353.702771,245369.4472,
0xf1433d2aa883e88625b9d6e3d001c1a52043fe93,269287,29912.59738,2252.238729,237122.1639,
0xc1165400a091447416a78edf041c4f000ee03346,235488,25928.84721,2198.886126,207360.2667,
0xb8b34e9d1dab90bd496b8120f9ad19bf673bf3f1,226847.0318,25647.70311,1447.914577,199751.4141,
0xa6554af23cff4a0e50a33a049f0d7c41da3dd7c5,218367.5236,25787.73703,295.0505128,192284.7361,
0xfc81d6159103b8bc9a09846053e02869aa187a55,218367.5236,25612.42305,470.3644953,192284.7361,
0x7c0ef6cdbe693fa8a642e532aaa2a6c317f3c3b1,210049.5299,15404.82001,9684.429402,184960.2805,
0x52255adf53a3be2c9576dba3afdb46c582ee52b7,186064.6355,21809.86181,414.5252137,163840.2485,
0xc5bc0b02c0703b500390ebb788338b3d3a65f717,186064.6355,21835.37175,389.0152739,163840.2485,
0xe084e22c018b3211e9086109b11dfe6c44a90eb2,170882.2781,0,20410.93877,150471.3393,
0x9c260d53ee5739f368528479c451ec522a65461a,170882.2781,19400.36033,1010.578445,150471.3393,
0x5521f46524b1f1375fc251d55f99278545565881,163533.3711,18289.22181,1243.930844,144000.2184,
0x7a46b6fe56dec884651c62a54944ad379bb2ec03,163533.3711,15057.97539,4475.177264,144000.2184,1
0xfa5b9bb588785714aa8b8b0550a2829b101331c4,163533.3711,18941.02177,592.1308838,144000.2184,
0x02d5ab05d0e4966cb51f3f56961561ff371ab244,149320.1003,0,17835.45642,131484.6439,
0x9384e4500b81bebba0025fb063b217444bfd7eb7,142455.7366,16612.67008,402.8762306,125440.1903,
0xc07cc0c441111f129d5c68e00ddee75e5f37f1ac,116613.4261,13461.39844,467.427455,102684.6002,
0x2874aeaa14672226db2844a959966698c660bbbb,32302.88811,3756.478165,101.9223588,28444.48759,
0xa342683dac63acd9f4007c98bce7c4c6ec645c64,32302.88811,0,3858.400524,28444.48759,
0x82daab0b45425a420ad624adbc5338e812b06821,32302.88811,3757.080806,101.3197185,28444.48759,
0x2651c947137cd9f83449ad927fb0148c6d6b54cb,32302.88811,361.7539008,3496.646623,28444.48759,
0xa2458383f29827d71b1eba2e23ed1491a92f969c,32302.88811,0,3858.400524,28444.48759,
0xd09eb467a2f8f32dce4d0bbaf8b71f8fea9f676f,32302.88811,1084.043447,2774.357077,28444.48759,
0x19c2f6f862d67d9a70ef3cbc20ba622694b460d3,32302.88811,3667.64215,190.7583741,28444.48759,
0x3ba8c6c9836fef6f9844b1189379d65b4518b0e3,32302.88811,594.6069588,3263.793565,28444.48759,
0x5a2e4295f9f1fd50ee93746e9aa3ffb8c716d61b,32302.88811,0,3858.400524,28444.48759,
0x9780b281b05bde9f88033777ba8891695758a006,32302.88811,3380.848855,477.5516694,28444.48759,
0xff5fe3dde9623a89d71a71933c14e1f281ea1226,30000,3167.422311,415.9110223,26416.66667,
0x6100cc0c2d7f078a02af90a244892e141ef889a9,30000,3169.047121,414.2862126,26416.66667,
0x2de4b336b5830085a7f6aadeec966316dddf6f78,100000,11567.87058,376.5738627,88055.55556,
0x67aee3680ba78276ac62fd15b0d3cf2f483d210f,60000,7034.225013,132.441654,52833.33333,
0xa058c37cf385044e642f19ed5a2f7d725c27beb0,100000,11632.31968,312.1247675,88055.55556,
0xd385abb8a81f6cbc207f5f7c7e9d4e9111ef641e,150000,15951.30486,1965.361809,132083.3333,
0x6cd378a46ae6f0d2707be7d7d130a4831ddd23d2,1542803.06,0,184279.2544,1358523.806,
0x93e4a7de93ec834eb920ec9f2c3989957a6fc242,1928503.825,0,230349.068,1698154.757,
0xbd132c99f9b16605fed07784024353ef87aac814,1928503.825,178647.2763,51701.79164,1698154.757,
0x6bd5a1cc3574b2dd69c62cf583876550d6294af3,3910200,459567.1187,7484.548009,3443148.333,
0x4401ebbb599c0d01e3dbe774bfa0c8666e7fea91,154280.306,0,18427.92544,135852.3806,
0x1d89999f6f878ea4b84c03b8816bbaef33dbcc6d,1079962.142,90350.03395,38645.44412,950966.6639,
0xab54ac1a31609e5ef43e3fafb8ae9e56303980e0,1619943.213,0,193493.2171,1426449.996,
0x8d5cd25f78ea81c001ad0ae8c022380a7602cf8f,1157102.295,0,138209.4408,1018892.854,
0x1815c4d887a4d2ebff52e7bc10a0d9d16c75acb2,200000,20763.36462,3125.524269,176111.1111,
0x674d97d144e066d95df7574991a85d62f7fe450c,100000,0,11944.44444,88055.55556,
0xd3674c20124b1077fb8c3cc68fa33adbcf23c27f,75000,8387.869419,570.4639143,66041.66667,
0x1df54eaf8395a7331a366b34e03fedf95c19c2d2,25000,0,2986.111111,22013.88889,
0x1d6dbbd08b671bb8324010812f72d0df75f511b7,25000,998.4108109,1987.7003,22013.88889,
0x72dece2efd443beebb497be895eccea80a5b8852,25000,1351.407651,1634.703461,22013.88889,
0x489bd2e16c8c665ccd35dbcbcfb895a5750f823d,25000,2895.620613,90.49049763,22013.88889,
0x6111228851d71a8dd5c7c97477e963f265656986,25000,2930.403349,55.70776256,22013.88889,
0x267fae9ec638957379bd9d2738e5e8ff308fa6e3,25000,1044.448408,1941.662703,22013.88889,
0x3bdd050825b6ca026ec7cc41542088bb3b91e329,6982500,818911.863,15108.97038,6148479.167,
0xf790d4140b245c35adb0a868694b83469f126667,6982500,818913.8557,15106.97766,6148479.167,
0x098208c402d635dc9eb7dac5d15fd4647f096809,6982500,818508.964,15511.86937,6148479.167,
0x8046c4afaf2499759d0a4fc89c5d881ee8a2e918,6982500,818504.3143,15516.51906,6148479.167,
0x7dfc498377e36547f2daac9fd1d6aefae68753af,13965000,1638617.272,29424.39434,12296958.33,
0xa11ff2e632612bc6433360417b9dfc584848ff05,27930000,3278858.835,57224.49835,24593916.67,
0xc2defbf0d1ca36761311566719259e4fa8f5dc8e,163533,19201.68643,331.4219018,143999.8917,
0x47627df1175c7eda92d213daf620e4c46cc3062d,25000,0,2986.111111,22013.88889,
