address,total_allocated,already_claimed,available_to_claim,total_remaining,frozen
0xdd4cf69e82529541d04a1b6b90e3d8e0fd073b04,8039215.69,5808047.191,144800.6178,2086367.881,
0x03538ab4a73e8ab9b590be2c448fc2580ee89cde,5333333.33,3881988.959,67217.38765,1384126.983,
0x6d8fbbf7962322a6bc148ecc3c1723b1273862ae,5176470.59,3761403.551,71649.6714,1343417.367,
0xc89d8f1efe9e61e073d91a75523385ca69caf4f9,5176470.59,3761344.484,71708.73842,1343417.367,
0x8c2d18745e40681b585ddc82d2665b9073505a82,3411764.71,2483884.474,42446.06155,885434.1747,
0x84255900b4029e14597d173faa2f4503900d01a9,1843137.25,1279144.429,85654.82011,478338.0006,
0x8b1f8a0d0d824db9f1fa11d0e015e4a9c4fdc13c,1607843.14,954907.4987,235662.0644,417273.5768,
0xa9433fe051aee57b1de0283504be74b1d6cd39ab,1176470.59,848087.9803,23060.48044,305322.1293,
0xba22eea00b9ce57806a283a60c1ab89a8442fcd8,784313.73,571137.963,9627.679885,203548.0871,
0xf7376dfcbdcad491ecae70e50ff0f7c4ee715e67,470588.24,342679.1268,5780.260397,122128.8528,
0x6c23fd28ad13044d894b564dbe9f5ba28c9977bc,392156.86,284692.4347,5690.383085,101774.0422,
0xc812cc69c3744c210415ec47cd58197f11e65f00,313725.49,227755.6152,4550.640471,81419.23431,
0xf8a4ef0ffc04d1882305032347daa2a904e52f03,313725.49,227121.09,5185.165653,81419.23431,
0x93ff62a6c22febaa40b37623e845446dd3b4d583,313725.49,179168.3539,53137.90175,81419.23431,
0x475ff35645fc30f93e866c0ddc941f74cdade6b0,196078.43,142249.9136,2941.495314,50887.02112,
0xce08958266f58b638527b224d8b7141a3ff9c77e,196078.43,141750.2553,3441.153562,50887.02112,
0x2ae265d987ece3f68ae8d6e726e4f73b313c6d21,176470.59,113714.7743,16957.49591,45798.31979,
0x0632a79dc2ea139870cf90626195241b2e7ca2e1,172549.02,89235.27168,38533.16932,44780.579,
0xb3c53eedc18bf28320378bd1f3fd91acb52fc501,78431.37,56990.98879,1085.573279,20354.80793,
0xb30509ab064bd5fbc1f795dcd0f991b2a4ab107e,78431.37,56889.27151,1187.290564,20354.80793,
0xa2a4b9a4486b815cdb29c279c8ea5ae663dedb14,78431.37,45319.61919,12756.94289,20354.80793,
0xdd5d857ee5e86039d9e196ee9f60beeaf1e0d5f5,39215.69,26743.8831,2294.401639,10177.40526,
0x37b1ca174bf2bbeb28d0fdfce337ba11daf02bd2,39215.69,26637.92598,2400.358759,10177.40526,
0x56b3acddab7693d57be596163777d5fdf7551efc,164705.88,118450.7275,3510.055057,42745.09743,
0x70d8854c76bfdd8bb9cf24e6e625f847b5e72918,156862.75,113785.4664,2367.665136,40709.61845,
0xcc28fb81a0d842ee69ac37022f5d13c9b0313201,156862.75,113944.243,2208.888592,40709.61845,
0xec2c8eb5bef1fe23029081b6a9b8d472cd48b466,156862.75,0,116153.1315,40709.61845,1
0xde036c3dff296df71efc23ed9b93553e8de7b9e2,125490.2,78947.19372,13975.31152,32567.69476,
0x95180b9326c1adfca8a18c1b45d298b600d73525,78431.37,12292.44481,45784.11726,20354.80793,
0x27a6321e9162cb58915543ebecf1239dc0da7b29,62745.1,23598.92594,22862.32668,16283.84738,
0x6f647576d9d433372b6750e81b1f4e5690e425e5,784313.73,569801.1054,10964.53751,203548.0871,
0x1865309862039ba95dda27e9d70f994426f9c764,549019.61,394797.7439,11738.20544,142483.6607,
0x0db502833e2fb37cef59e615c3db2d702435e29f,549019.61,400443.9142,6092.035139,142483.6607,
0xf5a826995cecc4afb1b594ebe01173c820a02bb3,392156.86,284892.3471,5490.47066,101774.0422,
0xc1efae58e2339841500dcb7e037ba3a38ac21f62,313725.49,228485.6507,3820.605015,81419.23431,
0xbf0cea09de1dbcadc3665196ab3d5971947d6f7b,282352.94,146721.9063,62353.72303,73277.31062,
0x1ebd5165544809da4db761e1fd9da0557f7262b9,211764.71,143288.3188,13518.40692,54957.98426,
0xc98dcd3604eae841f2576dacc6f35bdc9ce29f77,196078.43,142452.6134,2738.795499,50887.02112,
0x1afd5632b7e9d97d561ac6a5833613f6889d1b86,172549.02,125188.9661,2579.474933,44780.579,
0x5d5fcb779ab9631a4ad9771bb1fbc6a4c85246cc,156862.75,106158.0793,9995.052276,40709.61845,
0x78cb7537e0b9a6bde79654cef4a6a2f4a7f3b514,156862.75,113544.8154,2608.316175,40709.61845,
0x3f76506128afcca4f947b3fc8c4993709f6534b5,156862.75,113467.4391,2685.6924,40709.61845,
0xa1c0cb79df792cbdca79997fb4dfe5f1e52e0bce,156862.75,105026.4589,11126.67263,40709.61845,
0x75933288dc1e77f112928085c663a89680867290,125490.2,83789.86805,9132.637183,32567.69476,
0xe2eefc1907723b94b4073f0e4d64aba11b26ec5f,125490.2,83709.04785,9213.457383,32567.69476,
0x402a5caf606d8315fa5d33f28f4c7ab2bad83f97,117647.06,85749.39212,1365.454692,30532.21319,
0x623c499d241200a3ca5215955d8c107768bb616d,109803.92,79990.51703,1316.671347,28496.73162,
0x670df54319f1d47ff4c7e98bce955da65217a736,109803.92,79678.62247,1628.565913,28496.73162,
0x048039b1dc0e9ef2f027e755ed5c42e2556703ed,109803.92,79807.34603,1499.842347,28496.73162,
0xb3393ae237586473fba48733c916b3bb1d6704dd,94117.65,0,69691.87893,24425.77107,
0x8c90b213aef845f9fea5219f66ce2e48cdc20cf7,94117.65,68302.32432,1389.55461,24425.77107,
0x5092e7045a75c4da6c353bc566bd94d369a37854,94117.65,63685.67673,6006.202198,24425.77107,
0xf3ed75376729f3ce27b2d31e9da24643cf11dd70,94117.65,68388.93973,1302.939203,24425.77107,
0x1609dd5aa406be1341e9711453bd6a265b4fd1d2,78431.37,39633.44739,18443.11469,20354.80793,
0x35146177fa1c7f13d411f5c8d7eaaa9cd202b460,78431.37,55442.65914,2633.902931,20354.80793,
0x097d8a5d1eeed6c7b57b6eeabc27c5c0b8e93f34,78431.37,33176.58485,24899.97722,20354.80793,
0x3cf36914ecc5cbb2edd1a51f88a9804f9d410b89,78431.37,56919.09123,1157.470837,20354.80793,
0x9d7113d09794033b9f03a0e902e1655707097d03,78431.37,57159.07798,917.484088,20354.80793,
0xeea0badf9651fcfd46d11905e62f021408ab4ac6,78431.37,56966.28035,1110.281724,20354.80793,
0x21d86775b7be696949d17a561ac9ca7fa41f840a,78431.37,54514.66353,3561.898543,20354.80793,
0x1972c584db65684de0cc5b3e8026bbe75b030d14,65882.35,44856.53984,3927.771707,17098.03845,
0xe643317ae10c995585150a032be8ba9329237f84,62745.1,45725.75135,735.5012649,16283.84738,
0xa57ca123014787c4e549c52a2ba2247327c92779,62745.1,45603.05837,858.19425,16283.84738,
0x812b12ded4a1599ac2edd133bd5eb6cc76f12779,62745.1,45753.44156,707.8110594,16283.84738,
0x95c6f877097112048642a07ea2c98884294cd69d,62745.1,43385.21217,3076.040447,16283.84738,
0x32fa7adbd36c6761ee653f3ce4903cd871689aa9,62745.1,7301.477438,39159.77518,16283.84738,
0xd614d1cc06cb7856a8e797f71e133e2fc9203259,62745.1,45721.87421,739.3784063,16283.84738,
0xd45d3a00917c023111ffcbbb7e00e007fa0dea47,62745.1,45579.82799,881.4246322,16283.84738,
0x5918a2562472230378c8a0775ba647cd5ee5c2bf,62745.1,44072.10185,2389.150768,16283.84738,
0x8f96e9528d81afe1f36172676f26c08ddb9ab585,62745.1,45534.44886,926.8037613,16283.84738,
0x8c7c917ef1145decb7a529e036e6bc32eff9d9e4,62745.1,45406.00424,1055.248381,16283.84738,
0x89baadef5d207c898680d7891db9f0e5352b2933,62745.1,45597.80056,863.452057,16283.84738,
0x3bc01b6c617a485d249ff3148309e2cc0fbde75a,62745.1,45742.97892,718.2737023,16283.84738,
0x1d6a132d6d5b86702b334bfdddf3a45ff8105929,54901.96,40023.2328,630.3613905,14248.36581,
0x30ea069962cf9ecce4a7eb2033db9df14f79ff97,54901.96,9681.124856,30972.46933,14248.36581,
0x3e11e3d3a0a357a526ff718f2d50ba4526dd5881,47058.82,19464.00085,15381.93491,12212.88424,
0x432f966ea708554b8225cb77582b71aca5516a71,47058.82,34144.80328,701.1324789,12212.88424,
0x37dd38f3aa0bedc5cfbb31188607a11b9b3addc8,47058.82,34292.33755,553.5982082,12212.88424,
0x1f056b16deaec42660f7c19ee4e976f5d14ed45a,47058.82,4687.141773,30158.79399,12212.88424,
0x3cfb3010c8a61eb90a9cdbeba796173f929d1da3,47058.82,34267.90593,578.0298353,12212.88424,
0xa49bb1aee2f04a83434815ee82b197dbfedfb81b,43921.57,31927.72076,595.1560697,11398.69317,
0x0502769cc98b0fa7648fe2a37df5f6568d5c7d55,39215.69,28115.59603,922.6887056,10177.40526,
0xa8c7406b17540fd4786b140a2b9ed202d597cd2d,39215.69,28405.60097,632.6837654,10177.40526,
