address,total_allocated,already_claimed,available_to_claim,total_remaining,frozen
0xb75becd13bbd85d7b7e3bbbe66b9ee8b59f36199,22346368.72,5184797.935,153501.259,17008069.53,
0xc6c883e9af08293f49ca8fd90d8c9cadfa933b39,11173184.36,2606477.807,62671.7897,8504034.763,
0xca8ef5b2eef847f6acb62fc7016b37188daff324,2793296.09,641150.8337,26136.56558,2126008.691,
0x3fd6dc6169faa55f27196d7ee44ae29a12f199e3,2234636.87,512721.6703,21108.24864,1700806.951,
0xd744723419531086fe06fd0509bade4d9aa28f48,2234636.87,511117.2163,22712.70261,1700806.951,
0xe539e8a25710bbc4cd0df438cea2b7e864217715,1117318.44,224646.8062,42268.15451,850403.4793,
0xc25733fc9d73e91018b7e84939872ce6adac9f90,558659.22,130175.1384,3282.341983,425201.7397,
0xe339575b815fb96f865f3de0a6d80c5174dbecaf,5586592.18,1271575.824,62998.97451,4252017.381,
0xe570cd64bfd9d71e196a29de029285a00a557d6b,558659.22,94012.04264,39445.43769,425201.7397,
0xe561219020d08e77933e9f5e58665b34507690ee,558659.22,117351.3196,16106.16076,425201.7397,
0x9e528d2d08a4f2e7efbeefbd5722d971c466459e,223463.69,0,53382.99261,170080.6974,1
0x308eba39bae161118fd43d9083f0c7f5c062eb18,167597.76,0,40037.24267,127560.5173,1
0x53e4ca73edce4303eeba2d98d8247282438a4dfb,55865.92,0,13345.74756,42520.17244,1
0x3d106f1cb3b75c7c1b029e81ef1b7d074b4773d1,55865.92,0,13345.74756,42520.17244,1
0x93bd8b53a74645b40ec7c65ecf0dc9f566b0a414,55865.92,0,13345.74756,42520.17244,
0xec6ce0f929f68c59a3611e6ee05e7e78b4216ce2,55865.92,0,13345.74756,42520.17244,
0xabf54bfc77a53b73f72f4f8e0ce7e399862baa0f,335195.53,0,80074.48772,255121.0423,
0x4401ebbb599c0d01e3dbe774bfa0c8666e7fea91,293265,61517.17723,8540.572768,223207.25,
0xa217f7d0b87214f7673ef169167c7809aca3e409,11173184.36,0,2669149.597,8504034.763,
0xfd298d1ab71d99d407d796655c0136b426f81dde,2234636.87,520966.6802,12863.23872,1700806.951,
0x8175fbbadebb294fe4e8175e180943a86008b06b,1117318.44,1998.465513,264916.4952,850403.4793,
0x1aa324ecb587b8b044815992acc7a86dead12c0f,2089385.47,469603.9821,29526.99129,1590254.497,
0x99c3c4c33d3ee1b19e43a228c8225739e7bee7e4,1340782.12,0,320297.9509,1020484.169,
0x1f6934c591361943b3695fec80e6ef03fa965beb,1229050.28,257912.4452,35694.01057,935443.8242,
0x8095085601781ea121a4057d5e59c64b94b21f67,1117318.44,256980.1319,9934.828782,850403.4793,
0xc8d93b9f3932d477816a00098ca7447df7fb5456,1117318.44,260740.5665,6174.394187,850403.4793,
0x53de80cf153f3e8d388a80d33b1553ed254c6aa8,837988.83,191928.0725,8258.147993,637802.6095,
0x5c85d811c3007998d431ea6eb4a450d8804066eb,564244.68,0,134791.7847,429452.8953,1
0x8d20531977a76003043f8fc29329df26b808e293,558659.22,103020.4014,30437.07897,425201.7397,
0x6c3c02c1c2935775a24d8d16023f59e7458556a1,558659.22,127074.0082,6383.472108,425201.7397,
0x975379d387a9df2d9240bb49f4439828ba4eb923,558659.22,128179.3346,5278.145734,425201.7397,
0x03f248f96c6ad8dd0087ff28f0fab1e3205cb3cd,461005.59,59544.17423,50584.93894,350876.4768,
0x96501927163c32ba990d0cbe6f42593c88460af5,446927.37,94513.81896,12252.16387,340161.3872,
0xd2522d666789770ca19bba3410a737435e05b899,335195.53,77559.95592,2514.531805,255121.0423,
0x2af26c9f0f99164bd1ee8937c47e28ccf0165f74,335195.53,77759.34785,2315.139875,255121.0423,
0x82103413ba3f48b955d4b10ef60e3fb4ce506ff8,167597.76,38252.05036,1785.192308,127560.5173,
0x0011ddd92e881709a997ca809813e0489d0e138b,167597.76,28202.65072,11834.59194,127560.5173,
0xf54098a9663b40190da83e756de5c3c8e0bd8b28,178770.95,0,42706.39361,136064.5564,
0x25514b98abf43cd4c8f9246188a2870b5fde3e4f,167597.76,33071.95543,6965.287236,127560.5173,
0xce4f3cdcf02b9a8caeea086a9da8c6976c38e9b9,167597.76,32722.5249,7314.717768,127560.5173,
0xaef7b98033b4da0fa93c5f277e5c010f321e43ab,155865.92,36088.18716,1146.449283,118631.2836,
0x7b1383fbed5aaf679e115ec86068cf40bdaea3e7,130726.26,0,31229.051,99497.209,
0x21ca1727aa1a638ccf8bafa6ad8737600cd15406,111731.84,25679.72384,1011.771271,85040.34489,
0x2d2880d1234ba3c31b6399b91529bd3ec3720ba8,111731.84,13040.68837,13650.80674,85040.34489,
0x136f252579b43cd44d6b7c632c212592cb5e1906,111731.84,24919.09104,1772.40407,85040.34489,
0xeb64b43c1fadd9a8870a77f0085b3f6fca3f44c1,91508.38,20375.75868,1484.576538,69648.04478,
0x7376c78589e0f8081399ac1102a459ea048c5ad7,60335.2,0,14413.40889,45921.79111,
0x8871a0c6f005b50dc363d8e7e270c3c71e5467ab,50279.33,11727.74997,283.4233078,38268.15672,
0xd4bb8adbb6f0e10ed91ca562c27c0d2b0c1d9840,33519.55,6167.552398,1839.895658,25512.10194,
0xe90767e92332d5a03ade3c9e434b5a1070870f8e,27932.96,0,6672.873778,21260.08622,
0x1037ae8761cbe75bebb76c58534cf4e06e9ed792,27932.96,0,6672.873778,21260.08622,
0x2ba51361de9f043a7dc75b39939f13cca4b9db47,3016759.78,705477.2652,15193.12668,2296089.388,
0x92d2e229cc8241ae710e708bae33c43a5ae30f8f,2458100.56,538155.1661,49057.74548,1870887.648,
0x8edba21b5e8e6f2168c372d84a878afdb2d9b8b4,1117318.44,257600.9821,9313.978539,850403.4793,
0x2af1b09b38e24f05f6b38406b4e079e77adaa974,558659.22,130470.1229,2987.35744,425201.7397,
0xdec6c15126a94a507e2c27c6727cedc85bfdf3b7,558659.22,129031.7817,4425.698586,425201.7397,
0x831200292b72343b989f2b0d6d47387458cf5448,223463.69,24916.25137,28466.74124,170080.6974,
0xe84638119acd8b7c4c1de08d03027c7a46bd4ae1,5586592.18,1300137.95,34436.8483,4252017.381,
0x296246ac668f546a5fcd52d5e7ba9c34ece8fea7,8938547.49,2085675.78,49643.89858,6803227.812,
0xc6e1da78e6f77d3230093b16f24bf4f54fb283f4,335195.53,31634.38201,48440.10571,255121.0423,
0x650f201dcc28df976e79c4d8cca6a14b3491e833,564244.68,131601.2785,3190.506184,429452.8953,
0x16030796ba82679369de2f90182dfc60931b1a61,2234636.87,496175.7299,37654.18905,1700806.951,
0x8d844dfefa974917da7444af602b9c8a921c28a3,2011173.18,464721.5343,15725.39199,1530726.254,
0x7946632863fbb0a914b3c0e5f74e1c3c98ca64df,1675977.65,386888.2554,13484.18316,1275605.211,
0xb013b8d02741e842d8e46b7a34265a7b01aa8c03,1117318.44,222909.6645,44005.29618,850403.4793,
0x64737b6c29e198f4a9a293bb5320746c471f0f2b,1117318.44,256899.0777,10015.88299,850403.4793,
0xb793c8eb9044f34d1e8f3032f143427ae757e0f5,1061452.51,243930.754,9638.456752,807883.2993,
0x2e9243d6b6b6f2a76152e98f68c535355cd9e202,893854.75,164265.3142,49266.65385,680322.7819,
0x0a269666362819ccc2801640acdaa696b16d0d5c,893854.75,206524.6636,7007.304453,680322.7819,
0xa2037cf5457c47e8114d5c5e8b9d961d849f302b,893854.75,209021.4252,4510.542848,680322.7819,
0x8306645fcdf61045c1f808ba201d9a3ad873d8f0,584000,122572.0504,16939.06075,444488.8889,
0xe5831de54c30c4e61346118bfd2ea61567016292,820111.73,189061.0866,6854.493341,624196.1501,
0xe0e03228e9cd5adcd61a28a0191d853e681b6992,670391.06,150638.3422,9510.633273,510242.0846,
0x2345ed7f89603bccf96dcdbbc74aa60628ab6476,670391.06,154914.5274,5234.44804,510242.0846,
0x09704a7988ec3629d01e2d33dc23a831465065b0,670391.06,122432.4117,37716.56375,510242.0846,
0x021fc1ce85bc2cc0ad603e872caea93ae3a5fe38,614525.14,138929.767,7873.460846,467721.9121,
0xc9176e167e4ec7883b7e0a0446f265c0288b7983,558659.22,124880.9043,8576.576069,425201.7397,
0xeedac1fd6514f815dc63c7391f9877637739bae6,558659.22,129491.3951,3966.085202,425201.7397,
0xa15d3c3a330c9a3884202ed49d49f26ed7d9f6ec,558659.22,88379.27004,45078.21029,425201.7397,
0xb6600162d5a006201a30d119e118f1b85744f4de,558659.22,103493.5002,29963.98011,425201.7397,
0x37c7cf95e362cfcdf72b9aa284f35ea291c84e75,557541.9,130030.5661,3159.99886,424351.335,
0x7037c3521616ca33f3362cc4a8ef29dc172cc392,446927.37,104133.3536,2632.629246,340161.3872,
0x05cdb88b63e609c0fd52a6a9d346b5698ff6f711,446927.37,71947.16959,34818.81325,340161.3872,
0x061d84c204978d385db892bb5f1b0d9cf5341848,335195.53,72636.75037,7437.737352,255121.0423,
0xc5a92e92afa37ec5dc61200c46620e54336d8f25,335195.53,76054.70796,4019.779761,255121.0423,
0x6939f1af0a0fba6b6cbfc7c92d4d95feff609486,335195.53,74134.30277,5940.184952,255121.0423,
0x0c748783c3fcd7bca5259b5489f691718cff3121,335195.53,77012.6033,3061.88442,255121.0423,
0x8978aa56deda5835ac9c7b8327efd1c669d792f9,335195.53,62922.56999,17151.91773,255121.0423,
0x71c21fadf354ec77f569fabecdfa320a6df4acc6,335195.53,77235.40697,2839.080756,255121.0423,
0xa192092036526d84d7c3bfb51a3a3a68e160efe3,335195.53,78448.13192,1626.355799,255121.0423,
0xd6fbe328280b047fd5134c8e97dcc782b6596c86,279329.61,44957.8362,21770.90396,212600.8698,
0x22f2399f1f03a4b872a54a449ef0ea1e9b68d4fd,279329.61,64752.99975,1975.74042,212600.8698,
0xc13cc55114b1a15723d9e257b066a1726333609d,279329.61,63143.05147,3585.688701,212600.8698,
0x787c2d0fa765e19203c72085fc059a848107d3f8,268156.42,61901.82032,2157.768899,204096.8308,
0x0bdf5920f4a61d32eb5b85997ad68be04a6582c8,223463.69,50973.69697,2409.295641,170080.6974,
0x7d4c83bb88efa85cbc6c21dc19777d8171594a15,223463.69,51627.3929,1755.599711,170080.6974,
0x4d614db9c333fc0c32f8d02c30425f97e53105cf,201117.32,46971.04218,1073.650933,153072.6269,
0xd96650c9be5aad36cfa4e7a8c91e04cc9bf5b1fc,201117.32,38883.67826,9161.01485,153072.6269,
0x261d30be5be3c252d10a5d18d7b6211a89205186,201117.32,46663.50401,1381.189103,153072.6269,
0x91654c7cfe75cb48fc5aaa1960b028aafecaae8e,201117.32,46961.51071,1083.182399,153072.6269,
0x24c106fb481a3b0c39a421d1631ad2451a674876,201117.32,46638.49239,1406.200721,153072.6269,
0x89e0524bede693cdbaf27f5143a6e73485661d93,167597.76,39157.75864,879.484029,127560.5173,
0x05a49583b0ff3f83087e859b95a9c91d13d7125b,162011.17,0,38702.66839,123308.5016,1
0x5d576045e4b290bfea6b28e9c7f41f7e74635c09,147486.03,26797.62362,8435.150216,112253.2562,
0x4bea6843de3d40fda4facc61ab0d9a695c2d2659,140782.12,29252.44671,4378.837512,107150.8358,
0x109d18369824141205e070f2bb450fd89f1ffd1b,134078.21,30998.83319,1030.961417,102048.4154,
0xa93c3458071d0949a53ba9ad39571863da9b7e79,134078.21,0,32029.79461,102048.4154,
0xc241b11810e49e63281617734d4ab1b4cc4c8678,134078.21,25917.12895,6112.665664,102048.4154,
